nom,adresse,etoiles,note,avis,prix,ville_id
Saravoan Kep,"Prey Thum,Kep ",3,8.3,955,49,11
Kep Bay Hotel and Resort,"Kep Centre,Kep ",4,8.0,641,53,11
Bird of Paradise Bungalows,"Prey Thum,Kep ",2,8.9,268,17,11
Sabbay Kep,"Prey Thum,Kep ",3,8.1,110,61,11
Auberge de la Plage,"Prey Thum,Kep ",3,7.8,46,16,11
The Beach House Hotel,"Prey Thum,Kep ",3,8.2,306,41,11
Vakara Hotel Kep,"Kep Centre,Kep ",4,8.8,211,90,11
Onederz Koh Rong,"Koh Toch,Koh Rong ",3,9.0,170,21,14
Scarlet Sails Resort,"Koh Toch,Koh Rong ",4,7.8,303,57,14
WHITE SAND ARK RESORT,"Plage de Sok San,Koh Rong ",4,9.3,444,77,14
Long Set Resort,"Koh Toch,Koh Rong ",4,8.9,919,121,14
Long Beach Resort Koh Rong,"Plage de Sok San,Koh Rong ",0,8.0,268,108,14
BeachWalk Koh Rong,"Koh Toch,Koh Rong ",4,9.2,237,132,14
Mad Monkey Koh Rong,"Koh Toch,Koh Rong ",2,7.5,42,60,14
The Secret Garden Koh Rong,"Pagoda Beach,Koh Rong ",4,9.2,387,118,14
Koh Rong Hill Beach Resort,"Koh Toch,Koh Rong ",0,7.5,237,56,14
The One Resort Koh Rong,"Pagoda Beach,Koh Rong ",3,8.3,270,152,14
Sara Resort,"Saracen Bay,Koh Rong Samloem ",4,8.7,743,66,16
Saracen Bay Resort,"Saracen Bay,Koh Rong Samloem ",0,9.2,610,64,16
Eden Beach Resort By EHM,"Saracen Bay,Koh Rong Samloem ",4,8.9,382,88,16
"The Cliff Hostel, M'pay Bay","Mpai Bei,Koh Rong Samloem ",0,8.1,353,13,16
La Passion by Achariyak,"Saracen Bay,Koh Rong Samloem ",4,8.8,550,103,16
SoonNoeng Resort,"Saracen Bay,Koh Rong Samloem ",4,8.6,76,64,16
Paradise Villas Koh Rong Sanloem,"Saracen Bay,Koh Rong Samloem ",3,8.1,167,37,16
One Beach Resort By EHM,"Saracen Bay,Koh Rong Samloem ",4,8.0,187,80,16
Onederz Koh Rong Sanloem,"Saracen Bay,Koh Rong Samloem ",1,8.8,455,66,16
Tube Resort By EHM,"Saracen Bay,Koh Rong Samloem ",4,8.3,411,68,16
