Ville,Nom,Adresse,Étoiles,Note,Avis,Prix
Stung Treng,Mekong Bird Resort,"Mondol Bei,Stung Treng - Voir sur la carte",,6.8,53,N/A
Stung Treng,Sampheap Guesthouse,"Mondol Bei,Stung Treng - Voir sur la carte",,N/A,N/A,N/A
Stung Treng,Four Rivers Hotel,"Mondol Bei,Stung Treng - Voir sur la carte",4 étoiles,N/A,N/A,N/A
Takeo,Eco Garden Residences,"Sangkat Chaom Chau,Takeo - Voir sur la carte",4 étoiles,7.9,133,N/A
Takeo,The Safari Resort,"Prey Rumdeng,Takeo - Voir sur la carte",4 étoiles,9.6,3,N/A
Takeo,Diamonich Suites Hotel,"Prey Rumdeng,Takeo - Voir sur la carte",3 étoiles,N/A,N/A,N/A
Takeo,Alice Villa Hotel,"Chres,Takeo - Voir sur la carte",3 étoiles,7.6,63,N/A
Takeo,Meas Family Homestay,"Prey Rumdeng,Takeo - Voir sur la carte",4 étoiles,8.7,10,N/A
Kep,Atmaland Resort,"Prey Thum,Kep - Voir sur la carte",3 étoiles,8.6,637,24 €
Kep,Veranda Natural Resort,"Prey Thum,Kep - Voir sur la carte",4 étoiles,8.8,1452,119 €
Kep,Mealea Resort,"Prey Thum,Kep - Voir sur la carte",3 étoiles,8.1,665,43 €
Kep,Saravoan Kep,"Prey Thum,Kep - Voir sur la carte",3 étoiles,8.3,955,49 €
Kep,Kep Bay Hotel and Resort,"Kep Centre,Kep - Voir sur la carte",4 étoiles,8,641,53 €
Kep,Bird of Paradise Bungalows,"Prey Thum,Kep - Voir sur la carte",2 étoiles,8.9,268,17 €
Kep,Sabbay Kep,"Prey Thum,Kep - Voir sur la carte",3 étoiles,8.1,110,61 €
Kep,Auberge de la Plage,"Prey Thum,Kep - Voir sur la carte",3 étoiles,7.8,46,16 €
Kep,The Beach House Hotel,"Prey Thum,Kep - Voir sur la carte",3 étoiles,8.2,306,41 €
Kep,Vakara Hotel Kep,"Kep Centre,Kep - Voir sur la carte",4 étoiles,8.8,211,90 €
Koh Rong,Onederz Koh Rong,"Koh Toch,Koh Rong - Voir sur la carte",3 étoiles,9,170,21 €
Koh Rong,Scarlet Sails Resort,"Koh Toch,Koh Rong - Voir sur la carte",4 étoiles,7.8,303,57 €
Koh Rong,WHITE SAND ARK RESORT,"Plage de Sok San,Koh Rong - Voir sur la carte",4 étoiles,9.3,444,77 €
Koh Rong,Long Set Resort,"Koh Toch,Koh Rong - Voir sur la carte",4 étoiles,8.9,919,121 €
Koh Rong,Long Beach Resort Koh Rong,"Plage de Sok San,Koh Rong - Voir sur la carte",,8,268,108 €
Koh Rong,BeachWalk Koh Rong,"Koh Toch,Koh Rong - Voir sur la carte",4 étoiles,9.2,237,132 €
Koh Rong,Mad Monkey Koh Rong,"Koh Toch,Koh Rong - Voir sur la carte",2 étoiles,7.5,42,60 €
Koh Rong,The Secret Garden Koh Rong,"Pagoda Beach,Koh Rong - Voir sur la carte",4 étoiles,9.2,387,118 €
Koh Rong,Koh Rong Hill Beach Resort,"Koh Toch,Koh Rong - Voir sur la carte",,7.5,237,56 €
